experiment_id,env_id,net_arch,learning_rate,batch_size,gamma,n_steps,ent_coef,total_timesteps,mean_reward,std_reward,training_time_s,objective_score
exp_001_s16x16_baseline_stage1,CartPole-v1,"[16, 16]",0.0003,256,0.99,2048,0.01,100000,239.4,27.13742802846283,11.68,236.6862571972
exp_002_s16x16_lr_low_stage1,CartPole-v1,"[16, 16]",0.0001,256,0.99,2048,0.01,100000,359.6,133.55687926872204,11.77,346.2443120731
exp_003_s16x16_lr_high_stage1,CartPole-v1,"[16, 16]",0.001,256,0.99,2048,0.01,100000,488.7,33.9,11.9,485.31
exp_004_s16x16_batch_small_stage1,CartPole-v1,"[16, 16]",0.0003,64,0.99,2048,0.01,100000,337.3,36.60887870448916,18.47,333.6391121296
exp_005_s16x16_batch_large_stage1,CartPole-v1,"[16, 16]",0.0003,512,0.99,2048,0.01,100000,383.2,103.20930190636888,10.86,372.8790698094
exp_006_s16x16_gamma_low_stage1,CartPole-v1,"[16, 16]",0.0003,256,0.9,2048,0.01,100000,463.0,59.356549764958544,12.73,457.0643450235
exp_007_s16x16_gamma_high_stage1,CartPole-v1,"[16, 16]",0.0003,256,0.999,2048,0.01,100000,500.0,0.0,12.1,500
exp_008_s16x16_nsteps_small_stage1,CartPole-v1,"[16, 16]",0.0003,256,0.99,512,0.01,100000,256.7,25.167637950352038,12.72,254.183236205
exp_009_s16x16_nsteps_large_stage1,CartPole-v1,"[16, 16]",0.0003,256,0.99,4096,0.01,100000,395.0,122.66621376727987,11.9,382.7333786233
exp_010_s16x16_ent_zero_stage1,CartPole-v1,"[16, 16]",0.0003,256,0.99,2048,0.0,100000,416.0,78.7210264160726,12.29,408.1278973584
exp_011_s16x16_ent_high_stage1,CartPole-v1,"[16, 16]",0.0003,256,0.99,2048,0.05,100000,499.1,2.7,12.07,498.83
exp_012_s64x64_baseline_stage1,CartPole-v1,"[64, 64]",0.0003,256,0.99,2048,0.01,100000,500.0,0.0,13.29,500
exp_013_s64x64_lr_low_stage1,CartPole-v1,"[64, 64]",0.0001,256,0.99,2048,0.01,100000,485.7,42.900000000000006,12.89,481.41
exp_014_s64x64_lr_high_stage1,CartPole-v1,"[64, 64]",0.001,256,0.99,2048,0.01,100000,500.0,0.0,12.79,500
exp_015_s64x64_batch_small_stage1,CartPole-v1,"[64, 64]",0.0003,64,0.99,2048,0.01,100000,500.0,0.0,21.44,500
exp_016_s64x64_batch_large_stage1,CartPole-v1,"[64, 64]",0.0003,512,0.99,2048,0.01,100000,500.0,0.0,12.24,500
exp_017_s64x64_gamma_low_stage1,CartPole-v1,"[64, 64]",0.0003,256,0.9,2048,0.01,100000,311.5,98.50101522319453,12.89,301.6498984777
exp_018_s64x64_gamma_high_stage1,CartPole-v1,"[64, 64]",0.0003,256,0.999,2048,0.01,100000,360.7,139.74050951674678,12.84,346.7259490483
exp_019_s64x64_nsteps_small_stage1,CartPole-v1,"[64, 64]",0.0003,256,0.99,512,0.01,100000,477.1,30.3,12.92,474.07
exp_020_s64x64_nsteps_large_stage1,CartPole-v1,"[64, 64]",0.0003,256,0.99,4096,0.01,100000,500.0,0.0,13.03,500
exp_021_s64x64_ent_zero_stage1,CartPole-v1,"[64, 64]",0.0003,256,0.99,2048,0.0,100000,500.0,0.0,12.6,500
