experiment_id,env_id,net_arch,learning_rate,batch_size,gamma,n_steps,ent_coef,gae_lambda,clip_range,target_kl,n_epochs,vf_coef,normalize_advantage,total_timesteps,trained_timesteps,status,objective_score,mean_reward,std_reward,training_time_s
hum_256x256_trial_002,Humanoid-v5,"[256, 256]",0.00015751320499779721,512,0.97,2048,0.008706020878304856,0.95,0.2,0.010863186785347131,10,0.75,False,1000000,1000000.0,completed,467.2651148509,471.57595075,43.10835899138158,341.9
hum_256x256_trial_003,Humanoid-v5,"[256, 256]",2.1930485556643678e-05,256,0.99,4096,0.0007591104805282694,0.966,0.1,0.017041836571800893,20,0.5,False,1000000,1000000.0,completed,344.5468657093,347.37500085,28.281351407262456,459.18
hum_256x256_trial_004,Humanoid-v5,"[256, 256]",4.473636174621264e-05,256,0.97,2048,0.004021554526690287,0.966,0.2,0.02268319353710666,10,0.5,True,1000000,1000000.0,completed,382.9215802174,384.82334784999995,19.01767632613102,398.36
hum_256x256_trial_005,Humanoid-v5,"[256, 256]",0.00018841476921545086,64,0.99,4096,0.0009718319944817398,0.95,0.2,0.016731408661446973,10,0.35,True,1000000,1000000.0,completed,478.053885299,489.31269080000004,112.58805501006904,426.99
hum_256x256_trial_006,Humanoid-v5,"[256, 256]",0.0005532496914298506,256,0.97,1024,0.00016599837974449222,0.99,0.1,0.008996910882709716,20,0.75,False,1000000,1000000.0,completed,356.5820641148,361.99223915,54.101750352025675,336.4
hum_256x256_trial_007,Humanoid-v5,"[256, 256]",3.997206819121805e-05,256,0.99,1024,0.00030138649046798047,0.99,0.2,0.022661841412520208,20,0.75,True,1000000,200000.0,pruned,384.9075811698,390.28813465,53.80553480161294,88.57
hum_256x256_trial_008,Humanoid-v5,"[256, 256]",1.0793832090127281e-05,256,0.99,4096,0.00018838307787619773,0.99,0.1,0.01799042191318548,10,0.5,False,1000000,900000.0,pruned,271.4850280407,272.4140697,9.290416592853875,327.89
hum_256x256_trial_009,Humanoid-v5,"[256, 256]",0.0003628700225554067,512,0.96,2048,0.002123261760236048,0.99,0.3,0.009405725362413601,15,0.35,False,1000000,100000.0,pruned,274.5702687915,275.7354774,11.65208608468622,28.74
hum_256x256_trial_010,Humanoid-v5,"[256, 256]",6.112170343513626e-05,64,0.96,4096,0.002785506848253588,0.99,0.2,0.012994284906896999,15,0.35,False,1000000,100000.0,pruned,295.5283997052,296.7166867,11.88286994795814,41.78
hum_256x256_trial_011,Humanoid-v5,"[256, 256]",0.00012989801809330638,64,0.97,1024,0.0010880761845917636,0.95,0.3,0.024873061656337882,15,0.5,False,1000000,100000.0,pruned,273.4500050244,274.3077861,8.577810755917175,36.84
hum_256x256_trial_012,Humanoid-v5,"[256, 256]",0.0002583850035180566,128,0.99,4096,0.0005563750857229198,0.95,0.15,0.0040448055751424235,10,0.35,True,1000000,100000.0,pruned,298.3279816325,300.53832175,22.103401174671497,26.45
hum_256x256_trial_013,Humanoid-v5,"[256, 256]",0.00014135362144715652,512,0.97,2048,0.007589347330297539,0.95,0.2,0.013149479823594996,10,0.75,True,1000000,200000.0,pruned,398.3709819484,402.04214605,36.711641015761394,66.56
hum_256x256_trial_014,Humanoid-v5,"[256, 256]",0.00021839295532220267,512,0.99,2048,0.009639978764414671,0.95,0.2,0.0286024793783602,10,0.75,True,1000000,200000.0,pruned,328.0492785141,331.99604424999995,39.46765735933285,66.23
hum_256x256_trial_015,Humanoid-v5,"[256, 256]",0.0009441106516903331,64,0.97,2048,0.0013899230724266918,0.95,0.15,0.005778783387738905,10,0.35,True,1000000,100000.0,pruned,304.1140142293,308.66393395,45.49919720719315,24.89
hum_256x256_trial_016,Humanoid-v5,"[256, 256]",8.514390738073204e-05,128,0.96,4096,0.0005597001347736214,0.95,0.2,0.013068917135056965,10,0.75,False,1000000,100000.0,pruned,274.4143636714,275.6677671,12.534034285969414,39.04
hum_256x256_trial_017,Humanoid-v5,"[256, 256]",0.0002201222603620041,512,0.99,4096,0.005239619507609594,0.95,0.2,0.019593607450581727,10,0.35,True,1000000,200000.0,pruned,208.7700037509,209.51827494999998,7.4827119911998565,65.82
