experiment_id,env_id,net_arch,learning_rate,batch_size,gamma,n_steps,ent_coef,gae_lambda,clip_range,target_kl,n_epochs,vf_coef,normalize_advantage,total_timesteps,trained_timesteps,status,objective_score,mean_reward,std_reward,training_time_s
hum_512x512_trial_000,Humanoid-v5,"[512, 512]",0.00015751320499779721,512,0.97,2048,0.008706020878304856,0.95,0.2,0.010863186785347131,10,0.75,False,1000000,1000000.0,completed,690.178034341089,702.9080302,127.29995858911072,410.88
hum_512x512_trial_001,Humanoid-v5,"[512, 512]",2.1930485556643678e-05,256,0.99,4096,0.0007591104805282694,0.966,0.1,0.017041836571800893,20,0.5,False,1000000,1000000.0,completed,612.1237084981042,620.52417415,84.00465651895884,733.72
hum_512x512_trial_003,Humanoid-v5,"[512, 512]",4.473636174621264e-05,256,0.97,2048,0.004021554526690287,0.966,0.2,0.02268319353710666,10,0.5,True,1000000,1000000.0,completed,828.1714797117589,847.57406475,194.02585038241148,498.55
hum_512x512_trial_004,Humanoid-v5,"[512, 512]",0.00018841476921545086,64,0.99,4096,0.0009718319944817398,0.95,0.2,0.016731408661446973,10,0.35,True,1000000,1000000.0,completed,498.7899393173489,508.99125372500004,102.01314407651147,399.73
hum_512x512_trial_005,Humanoid-v5,"[512, 512]",0.0005532496914298506,256,0.97,1024,0.00016599837974449222,0.99,0.1,0.008996910882709716,20,0.75,False,1000000,1000000.0,completed,717.4067761895792,734.7214975249999,173.14721335420646,406.89
hum_512x512_trial_006,Humanoid-v5,"[512, 512]",3.997206819121805e-05,256,0.99,1024,0.00030138649046798047,0.99,0.2,0.022661841412520208,20,0.75,True,1000000,100000.0,pruned,336.1252427777059,341.99378495,58.68542172294114,60.34
hum_512x512_trial_007,Humanoid-v5,"[512, 512]",1.0793832090127281e-05,256,0.99,4096,0.00018838307787619773,0.99,0.1,0.01799042191318548,10,0.5,False,1000000,100000.0,pruned,299.59456725678587,301.083659875,14.890926182141632,46.63
hum_512x512_trial_008,Humanoid-v5,"[512, 512]",0.0003628700225554067,512,0.96,2048,0.002123261760236048,0.99,0.3,0.009405725362413601,15,0.35,False,1000000,100000.0,pruned,224.35361929546158,225.128000075,7.7438077953840665,35.85
hum_512x512_trial_009,Humanoid-v5,"[512, 512]",6.112170343513626e-05,64,0.96,4096,0.002785506848253588,0.99,0.2,0.012994284906896999,15,0.35,False,1000000,100000.0,pruned,312.0153079408937,313.274863925,12.59555984106246,41.3
hum_512x512_trial_010,Humanoid-v5,"[512, 512]",0.00012989801809330638,64,0.97,1024,0.0010880761845917636,0.95,0.3,0.024873061656337882,15,0.5,False,1000000,100000.0,pruned,314.8058042176036,316.3322588,15.264545823963598,40.97
hum_512x512_trial_011,Humanoid-v5,"[512, 512]",3.251513946535883e-05,128,0.97,2048,0.009165193790139851,0.966,0.15,0.029089516474491862,10,0.5,True,1000000,100000.0,pruned,274.8540683794323,276.015108175,11.610397955676905,55.49
hum_512x512_trial_012,Humanoid-v5,"[512, 512]",0.0008016619025948284,256,0.97,1024,0.00010980939256150102,0.966,0.1,0.003524874323706009,20,0.75,True,1000000,100000.0,pruned,317.15510340838375,321.950714,47.95610591616243,35.76
hum_512x512_trial_013,Humanoid-v5,"[512, 512]",0.0006927461090453372,256,0.97,1024,0.0038484355678745806,0.966,0.1,0.003810781517622543,20,0.75,True,1000000,100000.0,pruned,291.57066763545237,295.002596575,34.31928939547645,34.5
hum_512x512_trial_014,Humanoid-v5,"[512, 512]",0.00033607296130511107,128,0.97,2048,0.0004044758550598607,0.99,0.15,0.021768883101499818,20,0.75,True,1000000,400000.0,pruned,422.47869983803287,425.676299275,31.97599436967159,149.58
hum_512x512_trial_015,Humanoid-v5,"[512, 512]",7.098701732564448e-05,256,0.97,1024,0.004954447292150471,0.966,0.2,0.007647752507538344,10,0.5,False,1000000,100000.0,pruned,312.17923430350004,313.276354275,10.971199714999644,40.59
hum_512x512_trial_016,Humanoid-v5,"[512, 512]",0.0003293155899486789,256,0.97,2048,0.0014252739508200014,0.99,0.1,0.02730580059314113,10,0.5,True,1000000,100000.0,pruned,314.34658526517154,316.06380785,17.172225848284327,38.42
hum_512x512_trial_017,Humanoid-v5,"[512, 512]",1.6969397814843434e-05,256,0.96,1024,0.0005380470976078731,0.966,0.15,0.021030396138770495,20,0.75,False,1000000,100000.0,pruned,242.83076250872395,244.10633037500003,12.755678662760843,61.76
hum_512x512_trial_018,Humanoid-v5,"[512, 512]",7.862583553395726e-05,512,0.97,2048,0.00010180610672698006,0.99,0.3,0.013638014112221488,10,0.5,True,1000000,500000.0,pruned,446.3279761468713,450.02747615,36.995000031286345,211.31
hum_512x512_trial_019,Humanoid-v5,"[512, 512]",3.86791584160592e-05,128,0.97,1024,0.0001970256274929137,0.966,0.2,0.006468584434546048,20,0.75,False,1000000,100000.0,pruned,325.73366820563376,327.529455225,17.957870193662448,41.41
hum_512x512_trial_020,Humanoid-v5,"[512, 512]",0.00023400383905811692,256,0.96,2048,0.005201121296088711,0.95,0.1,0.013304534113140967,15,0.35,True,1000000,100000.0,pruned,262.13508645994625,263.0694472,9.343607400537492,41.09
