experiment_id,env_id,net_arch,net_arch_label,learning_rate,batch_size,gamma,n_steps,ent_coef,gae_lambda,clip_range,target_kl,n_epochs,vf_coef,normalize_advantage,total_timesteps,trained_timesteps,status,objective_score,mean_reward,std_reward,training_time_s
ll_pre5_128x128_trial_000,LunarLander-v3,"[128, 128]",128x128,0.0001,128,0.999,512,0.001,0.99,0.1,0.018995193359275145,10,0.5,False,300000,300000.0,completed,-1.1747688970223797,1.7756926499999994,29.50461547022379,122.26
ll_pre5_64x64_trial_001,LunarLander-v3,"[64, 64]",64x64,3e-05,128,0.995,2048,0.01,0.97,0.2,0.02465931848035907,10,0.5,True,300000,300000.0,completed,-1199.9373989692551,-1148.0965332,518.4086576925516,106.87
ll_pre5_64x64_trial_002,LunarLander-v3,"[64, 64]",64x64,0.0003,64,0.995,512,0.0,0.97,0.2,0.014080338921962003,5,0.5,True,300000,300000.0,completed,141.5274650653102,147.79936565,62.719005846897915,115.21
ll_pre5_128x128_trial_003,LunarLander-v3,"[128, 128]",128x128,0.001,64,0.999,2048,0.001,0.95,0.1,0.003995947578572386,5,0.35,True,300000,300000.0,completed,11.439610532863966,17.191289100000002,57.51678567136037,93.59
ll_pre5_128x128_trial_004,LunarLander-v3,"[128, 128]",128x128,0.001,512,0.95,1024,0.001,0.95,0.2,0.009964423948309202,10,1.0,True,300000,300000.0,completed,-139.3095003756305,-137.55738680000002,17.521135756305007,96.58
ll_pre5_128x128_trial_005,LunarLander-v3,"[128, 128]",128x128,0.0003,256,0.995,512,0.0001,0.99,0.1,0.012928326682604706,15,0.35,True,300000,300000.0,completed,178.89553069183506,186.27664510000002,73.81114408164966,112.45
ll_pre5_128x128_trial_006,LunarLander-v3,"[128, 128]",128x128,0.0001,512,0.95,2048,0.0,0.95,0.3,0.006782268411386148,10,1.0,False,300000,300000.0,completed,-101.77663363054167,-100.65621085,11.204227805416684,95.99
ll_pre5_64x64_trial_007,LunarLander-v3,"[64, 64]",64x64,0.0001,128,0.995,1024,0.0001,0.97,0.1,0.017346575052339996,20,0.75,True,300000,300000.0,completed,-42.678798586218655,-35.44724990000001,72.31548686218646,143.0
ll_pre5_128x128_trial_008,LunarLander-v3,"[128, 128]",128x128,0.001,256,0.99,512,0.0001,0.99,0.1,0.016273628628154475,5,0.5,True,300000,100000.0,pruned,-624.6278805089954,-617.9500027,66.77877808995389,31.75
ll_pre5_64x64_trial_009,LunarLander-v3,"[64, 64]",64x64,0.0001,512,0.99,2048,0.0001,0.95,0.1,0.010610078918881797,20,0.5,False,300000,50000.0,pruned,-4669.126587350772,-4483.706174600001,1854.2041275077122,16.68
ll_pre5_128x128_trial_010,LunarLander-v3,"[128, 128]",128x128,0.0003,256,0.995,4096,0.01,0.99,0.3,0.028567970662534026,15,0.35,False,300000,300000.0,completed,264.49346390170666,266.1420896,16.486256982933778,109.74
ll_pre5_128x128_trial_011,LunarLander-v3,"[128, 128]",128x128,0.0003,256,0.995,4096,0.01,0.99,0.3,0.027958745465127176,15,0.35,False,300000,300000.0,completed,262.54485924855163,264.4476877,19.028284514483943,109.91
ll_pre5_128x128_trial_012,LunarLander-v3,"[128, 128]",128x128,0.0003,256,0.995,4096,0.01,0.99,0.3,0.02781940265185086,15,0.35,False,300000,300000.0,completed,278.39231885175104,280.25292125,18.606023982489305,109.66
ll_pre5_128x128_trial_013,LunarLander-v3,"[128, 128]",128x128,0.0003,256,0.995,4096,0.01,0.99,0.3,0.023011136161858587,15,0.35,False,300000,300000.0,completed,265.24858442040664,266.91650855,16.679241295933316,105.76
