experiment_id,env_id,net_arch,learning_rate,batch_size,gamma,n_steps,ent_coef,total_timesteps,mean_reward,std_reward,training_time_s,objective_score
ll_001_s64x64_batch_large_primary,LunarLander-v3,"[64, 64]",0.0003,512,0.99,2048,0.01,300000,-45.3725086,77.6992791345319,40.78,-53.1424365135
ll_002_s64x64_ent_zero_alt,LunarLander-v3,"[64, 64]",0.0003,256,0.99,2048,0.0,300000,-65.58750979999999,18.91208395222392,44.48,-67.4787181952
ll_003_s64x64_lr_high_alt,LunarLander-v3,"[64, 64]",0.001,256,0.99,2048,0.01,300000,113.60195680000001,113.43120892668414,43.87,102.2588359073
ll_004_s16x16_gamma_high_compare,LunarLander-v3,"[16, 16]",0.0003,256,0.999,2048,0.01,300000,-144.689682,33.69621682286067,40.39,-148.0593036823
ll_005_s1024x1024x1024_batch_large_compare,LunarLander-v3,"[1024, 1024, 1024]",0.0003,512,0.99,2048,0.01,300000,223.46582010000003,21.86045564168234,224.61,221.2797745358
ll_006_s1024x1024x1024_baseline_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.0003,512,0.99,2048,0.01,600000,193.9721438,93.11078857227248,459.49,184.6610649428
ll_007_s1024x1024x1024_lr_low_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.0001,512,0.99,2048,0.01,600000,230.40023459999998,69.28415459745389,479.84,223.4718191403
ll_008_s1024x1024x1024_lr_high_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.001,512,0.99,2048,0.01,600000,275.37794199999996,28.427020531943853,497.84,272.5352399468
ll_009_s1024x1024x1024_batch_small_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.0003,64,0.99,2048,0.01,600000,18.026616600000004,304.1339494463003,1420.82,-12.3867783446
ll_010_s1024x1024x1024_batch_mid_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.0003,256,0.99,2048,0.01,600000,230.517048,88.20622373283665,683.03,221.6964256267
ll_011_s1024x1024x1024_gamma_low_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.0003,512,0.9,2048,0.01,600000,-127.2949026,29.839998589976453,549.97,-130.278902459
ll_012_s1024x1024x1024_gamma_high_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.0003,512,0.999,2048,0.01,600000,277.3936122,17.50779576543994,573.29,275.6428326235
ll_013_s1024x1024x1024_nsteps_small_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.0003,512,0.99,512,0.01,600000,73.5797648,115.41906688851643,598.66,62.0378581111
ll_014_s1024x1024x1024_nsteps_large_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.0003,512,0.99,4096,0.01,600000,225.4955541,95.04399011854652,458.77,215.9911550881
ll_015_s1024x1024x1024_ent_zero_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.0003,512,0.99,2048,0.0,600000,189.7832672,67.03854073044539,459.37,183.079413127
ll_016_s1024x1024x1024_ent_high_tune600k,LunarLander-v3,"[1024, 1024, 1024]",0.0003,512,0.99,2048,0.05,600000,86.54630769999999,268.2550512529144,463.03,59.7208025747
